Connection established...
[MODE:0][Sel:Y][FCW:       2][       2] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       3] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       4] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       5] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       6] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       7] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       8] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       9] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      10] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      11] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      12] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      13] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      14] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      15] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      16] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      17] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      18] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      19] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      20] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      21] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      22] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      23] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      24] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      25] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      26] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      27] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      28] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      29] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      30] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      31] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      32] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      33] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      34] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      35] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      36] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      37] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      38] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      39] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      40] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      41] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      42] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      43] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      44] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      45] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      46] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      47] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      48] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      49] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      50] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      51] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      52] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      53] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      54] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      55] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      56] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      57] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      58] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      59] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      60] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      61] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      62] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      63] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      64] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      65] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      66] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      67] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      68] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      69] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][      70] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      71] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      72] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      73] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      74] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      75] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      76] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      77] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      78] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      79] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      80] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      81] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      82] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      83] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      84] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      85] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      86] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      87] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      88] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      89] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      90] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      91] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      92] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      93] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      94] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      95] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      96] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      97] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      98] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][      99] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       4][       0] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       4][       1] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
