txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
1 1 1 -1905 -743 -2648 5044440 1967464 1.94117e+06 1.79995e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1460 -1432 -2892 4222320 4141344 1.98232e+06 1.86838e+06 2.09371e+06 2.09512e+06 1
1 1 1 -774 -1892 -2666 2063484 5044072 2.01428e+06 1.92444e+06 2.09371e+06 2.09512e+06 1
1 1 1 14 -2046 -2032 -28448 4157472 2.03853e+06 1.96939e+06 2.09371e+06 2.09512e+06 1
1 1 1 802 -1880 -1078 -864556 2026640 2.05648e+06 2.00466e+06 2.09371e+06 2.09512e+06 1
1 1 1 1480 -1410 70 103600 -98700 2.06939e+06 2.03171e+06 2.09371e+06 2.09512e+06 1
1 1 1 1927 -684 1243 2395261 -850212 2.07834e+06 2.05198e+06 2.09371e+06 2.09512e+06 1
1 1 1 2042 110 2152 4394384 236720 2.08426e+06 2.06675e+06 2.09371e+06 2.09512e+06 1
1 1 1 1840 891 2731 5025040 2433321 2.08792e+06 2.07718e+06 2.09371e+06 2.09512e+06 1
1 1 1 1340 1546 2886 3867240 4461756 2.08997e+06 2.08421e+06 2.09371e+06 2.09512e+06 1
1 1 1 638 1945 2583 1647954 5023935 2.09101e+06 2.08869e+06 2.09371e+06 2.09512e+06 1
1 1 1 -171 2036 1865 -318915 3797140 2.09149e+06 2.09133e+06 2.09371e+06 2.09512e+06 1
1 1 1 -947 1812 865 -819155 1567380 2.09175e+06 2.09276e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1585 1289 -296 469160 -381544 2.09197e+06 2.09348e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1971 548 -1423 2804733 -779804 2.09225e+06 2.09387e+06 2.09371e+06 2.09512e+06 1
1 1 1 -2028 -267 -2295 4654260 612765 2.09257e+06 2.09417e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1768 -1029 -2797 4945096 2878113 2.09293e+06 2.09445e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1215 -1645 -2860 3474900 4704700 2.09331e+06 2.09477e+06 2.09371e+06 2.09512e+06 1
1 1 1 -487 -1986 -2473 1204351 4911378 2.09371e+06 2.09512e+06 2.09371e+06 2.09512e+06 1
1 1 1 331 -2019 -1688 -558728 3408072 2.09414e+06 2.09551e+06 2.09371e+06 2.09512e+06 1
1 1 1 1087 -1735 -648 -704376 1124280 2.09456e+06 2.09595e+06 2.09371e+06 2.09512e+06 1
0 -1 1 -1683 -1163 -2846 -4789818 3309898 2.09495e+06 2.09644e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -2002 -425 -2427 -4858854 1031475 2.09527e+06 2.09698e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -2009 393 -1616 -3246544 -635088 2.09538e+06 2.09761e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1683 1163 -520 -875160 -604760 2.09507e+06 2.09839e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1083 1735 652 706116 1131220 2.09399e+06 2.09936e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -331 2019 1688 558728 3408072 2.09169e+06 2.10054e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 487 1986 2473 -1204351 4911378 2.08761e+06 2.10194e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1215 1645 2860 -3474900 4704700 2.0811e+06 2.10353e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1766 1029 2795 -4935970 2876055 2.07137e+06 2.10533e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 2028 267 2295 -4654260 612765 2.0575e+06 2.10735e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1971 -548 1423 -2804733 -779804 2.03839e+06 2.10963e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1589 -1289 300 -476700 -386700 2.01284e+06 2.11217e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 947 -1812 -865 819155 1567380 1.9795e+06 2.11496e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 175 -2036 -1861 325675 3788996 1.93702e+06 2.11792e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -642 -1945 -2587 -1660854 5031715 1.88406e+06 2.12092e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1342 -1546 -2888 -3875696 4464848 1.81942e+06 2.12385e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1842 -891 -2733 -5034186 2435103 1.74202e+06 2.12659e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -2043 -110 -2153 -4398579 236830 1.65103e+06 2.12903e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1925 684 -1241 -2388925 -848844 1.54583e+06 2.13111e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -1482 1410 -72 -106704 -101520 1.42612e+06 2.13275e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -832 1868 1036 861952 1935248 1.29197e+06 2.13385e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 -14 2045 2031 28434 4153395 1.14384e+06 2.13433e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 772 1892 2664 -2056608 5040288 982636 2.1341e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1434 1454 2888 -4141392 4199152 809710 2.1331e+06 -2.08354e+06 2.09515e+06 0
0 -1 1 1905 743 2648 -5044440 1967464 626811 2.13134e+06 -2.08354e+06 2.09515e+06 0
