Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,1), (  975,1)] vs [mpw/( 1798, 1), (  975,1)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,0), ( 1137,0)] vs [mpw/( 1700, 0), ( 1137,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1700,1), ( 1137,1)] vs [mpw/( 1700, 1), ( 1137,1)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 15
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 16
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 17
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 18
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,0), ( 1289,0)] vs [mpw/( 1589, 0), ( 1353,0)] ---> FAIL, ErrNum: 19
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1589,1), ( 1289,1)] vs [mpw/( 1589, 1), ( 1353,1)] ---> FAIL, ErrNum: 20
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 21
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1454,0), ( 1438,0)] vs [mpw/( 1454, 0), ( 1502,0)] ---> FAIL, ErrNum: 22
